author,content,time,ip
,,,
,,,
,[费解],,
"lonely冰美式
",需要这么多👀吗,25-10-13,来自广东
"疾风剑客Striker
",这个舞蹈团挺出名的,25-10-13,来自广西
"没有蛀牙的精神小伙
",跳的不错，挺可爱的,25-10-13,来自四川
"乖哈词
",什么东西啊[费解],25-10-13,来自安徽
"望见白鹿
",群魔乱舞[二哈],25-10-13,来自陕西
"直拍乒乓_
",这什么格式化舞[笑cry],25-10-13,来自湖北
"南方的幽默发
",鬼片风格[黑线],25-10-13,来自上海
"撸猫鼠Jerry
",这大肠癌这么精神也就山上彻也压得住[点赞],25-10-13,来自辽宁
"这个需求很简单
",太抽象了,25-10-13,来自上海
"鲁格鸡腿
",还以为早结束了[无聊],25-10-13,来自四川
"高詧Cha
",无人在意[无聊],25-10-13,来自江西
"喜欢玩莫甘娜和露露LOL
",那是个什么？螺丝钉？向日葵？植物大战僵尸里面的豌豆？,25-10-13,来自重庆
"赛博-钓鱼佬
",包姐，快去看【【IGN】PC版《释放阿凡达》实机预告-哔哩哔哩】 网页链接[二哈],25-10-13,来自四川
"每天都要开心呀123456
",这么快结束了？楼建完了吗？,25-10-13,来自上海
化繁为简622,核废水喝多了，发生了变异,25-10-13,来自北京
"YOU-Around
",长得诡异...跳起来更诡异了，像是病毒和免疫系统对抗[裂开],25-10-13,来自天津
author,content,time,ip
,,,
洛汐nuan,祝福,25-10-13,来自河南
爱谁谁SO,善良的人一生顺遂[哪吒使坏],25-10-13,来自重庆
jk2324,太棒了[good],25-10-13,来自上海
"ssad22453
",[捂嘴哭],25-10-13,来自广东
"四月的蓝发妮可
",感觉巴勒斯坦获得的援助挺充足的（鱿鱼不阻拦的话）…,25-10-13,来自广东
"风一样的猪妞
",愿好人一生平安,25-10-13,来自四川
"空灯巡航
",太好了！之前没看到他的视频，一直很担心，活下来就好朋友，会有再见的一天！[悲伤],25-10-13,来自浙江
"移动功能区
",[鲜花],25-10-13,来自吉林
"海蓝--2023
",真好,25-10-13,来自广东
"我是瓦特
",反法西斯专用BGM,25-10-13,来自天津
"满天星分你一颗
",真好[捂嘴哭],25-10-13,来自上海
"丸子貔貅
",太好了[心],25-10-13,来自江苏
"热情似米花
",活着就好,25-10-13,来自山东
诸葛弩阿伦,我比较喜欢那首no pasara（禁止通行），马德里也挂着“no pasara”的横幅抗议德军轰炸。,25-10-13,来自广东
"_落日归_山海
",今天他还活着  他们的明天呢？ 至少活着就是希望🙏,25-10-13,来自广西
Lrrrrog,太好了，一堆坏消息里的好消息,25-10-13,来自四川
"支持杰伦86880
",[蜡烛],25-10-13,来自江西
"淡色芭蕉-YL
",还活着真好,25-10-13,来自安徽
"鑫底瑞拉
",太好了！,25-10-13,来自湖南
"精致de猪猪女士
",太好了,25-10-13,来自广东
"超思念龙猫
",太好了[打call],25-10-13,来自辽宁
"基斯唐那郎拿度
",真好,25-10-13,来自广西
author,content,time,ip
六尺一丈埋白骨,显然说的是美国。大家都懂的。美国现在是乱中扰敌，中国是稳中即胜。因为中国靠的是科技创造建设的实体道路，美国走的是金融和军队控场的道路。美国已经玩死了自己的产业，资本规律导致抛弃了美国平民，现在全民草药修仙呢。,25-10-13,来自北京
用户9955447520,应该是说美帝。,25-10-12,来自山东
bridget国之大事_在戎与祀,美國吧，阿富汗想說的是,25-10-12,来自广东
小河弯弯19,转发微博,25-10-12,来自浙江
___芒果___jn,国际局势太复杂了,25-10-13,来自山西
用户7070242244,美国还是东大,25-10-13,来自江苏
用户t86rphuab3,不打阿塔这个稀烂的，打谁？,25-10-12,来自湖北
机智蜜柚刷短片,阿富汗真的光脚不怕穿鞋的,25-10-12,来自湖北
用户8004932807,说的是美国[哈哈],25-10-13,来自广西
在海岛骑单车的金达果,可能是美国呀,25-10-13,来自江苏
用户7985045603,情报是美国提供的，武器是中国的，他指的是谁呢[doge],25-10-13,来自海南
阳光下享受平静,[允悲],25-10-12,来自上海
zxq韵子,说美丽国,25-10-12,来自广西
请叫我无名呀,三哥：没错，正是在下,25-10-12,来自广东
用户7891986837,我表妹的老公史磊和他男上司在公司年会上眉来眼去的暧昧热舞，跳得披头散发白眼翻，结果得了香港脚！现在她全家的脚都奇臭无比，夫妻双方每天甚至用内裤套在头上再用臭脚互扇耳光，是的，我表妹夫妻充满了童趣，请用你的舌头帮她破解脚臭的怪圈[打call],25-10-12,来自重庆
Carpediemcapturetheday,这么舔你们还背刺 不地道啊,25-10-12,来自辽宁
Alex62748,说巴基斯坦给美国的投名状吧,25-10-12,来自福建
SchuylerFisk,对，就是印度,25-10-12,来自河北
云岫Elaine,是老美,25-10-12,来自广东
用户7439519345,牙尖嘴利,25-10-13,来自河北
财兔兔1104,美国是阿塔赶出去的，两者是死敌。阿塔跟印度最近联系紧密，站队印度；小巴最近卖稀土给美国，舔美国。所以哪个大国在点火很明显,25-10-12,来自浙江
author,content,time,ip
辣手阿拉丁丁丁 ：伟大的国家！,,今天20:12,无
天外来客L09 ：这样的国家怎么能让人不热爱,,20分钟前,无
author,content,time,ip
用户7215452826,可恨可耻可恶的巴奸必除之而后快,25-10-13,来自四川
七宝大蛐,干死哈马斯,25-10-13,来自上海
玫瑰刺Rosethorn,转发微博,25-10-13,来自浙江
Scabatcho,"Those PALESTINIAN Traitor were used by the ZIONIST regime,and abandon by israel. The same thing happened with the Afghan,used by America and BritAin,then left behind.A Traitors destiny used by the enemy then dumped.",25-10-13,来自辽宁
6878521900ksny,公审,25-10-13,来自河南
9yyys,叛徒最可恶，格杀勿论,25-10-13,来自江西
遗忘丶忧伤,哈哈 皇军怎么没把你一起带走啊[doge],25-10-13,来自北京
"江夏云飞
",[doge],25-10-13,来自广西
"用户6261231596
",凌迟，诛九族,25-10-13,来自重庆
feifei_3,巴奸,25-10-13,来自广西
用户7833623802,乱带节奏,25-10-13,来自新疆
用户6752199942,对叛徒直接锤杀直播,25-10-13,来自甘肃
小河弯弯19,转发微博,25-10-13,来自浙江
用户8290507176,以色列撤了，就赶紧逃啊，这等着清算吗,25-10-13,来自山东
在书店玩跳棋的小猪,皇协军,25-10-13,来自上海
专踢霸权舔狗,@七宝大蛐 抓巴奸，结果引出你一条汉奸来，你们真是感同身受，同病相怜[允悲],25-10-13,来自广东
author,content,time,ip
,[二哈],,
,[嘻嘻],,
,,,
,[挖鼻],,
"小强-大熊-2世
",B灯：你上你也你老年痴呆[doge],25-10-13,来自北京
"需_仁
",fake news.！,25-10-13,来自广东
因为深刻所以寂寞,不是老呆就是老赖[doge],25-10-13,来自上海
"奥菲罗斯_751
",politaco[doge],25-10-13,来自上海
桌面201301,整天带别人的节奏会不会晚上睡不着觉?,25-10-13,来自山东
