post_id,one_comment_id,author,content,time,ip
1,0,八月荷花2016 ：所以和他们讲什么道理，连起码的常识都没有,,今天18:43,无
1,0,王有邪xx ：第一个问首都的，我就知道他要说纽约,,今天18:53,无
1,0,托福苏巍老师 ：估计问美国人谁炸的珍珠港，会有不少人说Russia，可怜当年小罗斯福还搁那儿 remember the pearl harbor了,,3分钟前,无
1,0,北京旅游指南针 ：这玩意儿一上小红书大把女孩往上贴,,2分钟前,无
2,0,guangyao2023 ：博弈,,55分钟前,无
2,1,,,,
2,2,,[doge],,
2,3,,,,
2,4,,[笑cry],,
2,5,用户7511599535,功成名就就开始作死，历史教训[doge],25-10-15,来自江苏
2,6,美式不一定加冰,新加坡也没多大   没多少人口吧,25-10-15,来自辽宁
2,7,盛世秘籍,恭喜坡县贺喜坡县[笑cry],25-10-14,来自北京
2,8,超龄圣女显眼包,新加坡要不了多久，就会成为印家破,25-10-14,来自湖南
2,9,sinokin96,未来是印度的一个城市,25-10-15,来自上海
2,10,韩跑跑1818,新加坡具有战略地位，如果世界有大战 新加坡绝对是靶子,25-10-14,来自湖北
2,11,"yyli
",🕙,25-10-14,来自湖北
2,12,"扬帆启航66
",印加坡,25-10-15,来自重庆
2,13,AliangIyy,关我鸟事,25-10-15,来自江西
2,14,何几爱好者,新加坡是美国扎在马六甲的钉子，随着中国的复兴，新加坡有亲近中国的趋势，所以美国引进印度人，取代华裔，继续控制马六甲。,25-10-14,来自北京
1,1,,[允悲],,
1,2,"不敢下决心担责任是不行的
",这就是委奸,25-10-15,来自北京
1,3,"用户7956178689
",人怎么可以厚颜无耻到这种地步，理直气壮的背叛和出卖自己的祖国。,25-10-15,来自甘肃
1,4,"SAD_J
",这比是怕美国佬找他麻烦吗,25-10-15,来自辽宁
1,5,"kllIlInights
",诺贝尔和平奖含金量这一块[good],25-10-15,来自江苏
1,6,"养灰鹦鹉的培训man
",抢了川川的奖还要川川花钱花人送你上位想屁吃？[怒骂],25-10-15,来自上海
1,7,"官封弼马温6
",真机狗,25-10-15,来自湖北
1,8,"疯狂考古家
",可怜的委内瑞拉,25-10-15,来自天津
1,9,"青山靖客V
","这个女人自己获得1快钱, 莓国拿到一个亿",25-10-15,来自广东
1,10,"嗨来吧来吧努力奋斗吧
",该杀的！[摊手],25-10-15,来自四川
1,11,"用户6505318243
",这是个彻底不要脸的反贼吧[允悲],25-10-15,来自重庆
1,12,"用户7479851207
",委内瑞拉石油品质比沙特差远了[doge],25-10-15,来自四川
3,1,"骑着老鼠去逮猫K
",特朗普向包括辉瑞在内的医药公司喊话，要求它们降价1400%—1500%，如此一来相关企业不但是赔本赚吆喝，还要再支付一大笔补助款给受益者,25-10-15,来自河南
3,2,"插生子
",完了我创新药刚卖[泪],25-10-15,来自甘肃
3,3,"aq8888888
",又多了一张牌。,25-10-15,来自浙江
3,4,"找到你了_见会面
",美国企业应该和美国政府摆起来,25-10-15,来自河南
3,5,"游走的灵魂捕手
",资本毕竟是无国界的，知道哪里才是再造资本的源泉。,25-10-15,来自上海
3,6,"bksk的xy
",完了，中医会被杀到没活路，各种精神病会被源源不断地发明出来[吃瓜],25-10-15,来自湖南
1,1,,,,
1,2,,[呵呵],,
1,3,,,,
1,4,,[doge],,
1,5,,,,
1,6,,,,
1,7,,,,
1,8,"汉-新息候
",就印军那副得行，不会提升蒙军什么战力，大约只是想增加其军事存在。,25-10-15,来自上海
1,9,三生万物天命人,都挺有想法的,25-10-15,来自福建
1,10,星际天门,训练蒙古人吃素吗？,25-10-15,来自福建
1,11,锦色火花,包括吃饲料吗？,25-10-15,来自江西
1,12,freiheitlcsj,再培训也是个der,25-10-15,来自浙江
1,13,工科的文科同学,这是独立国家的权利。不丹作为独立国家，也应该有这个权利，设立一个“不丹南部战区边防军”，中国帮忙培训一下,25-10-15,来自河南
1,14,括苍山隐士,也算个爹吧，英国之前，莫卧儿王朝统治阶层是伊斯兰化的蒙古人[笑哈哈],25-10-15,来自上海
1,15,亿贴靈,教下蒙古人到草原到处拉野💩，有助草场恢复。[允悲],25-10-15,来自广东
1,16,下阳游民,这是否意味着印度的“军事顾问”将出现在中蒙边境？我认为我国有必要要求蒙古方面正面回应此事，并且采取中国可以接受的有效措施，消除一切第三方在中蒙边境的存在！,25-10-15,来自山西
1,17,麦坤和山风,这蒙古是真的有点弱智呀[允悲],25-10-15,来自广东
1,18,猹局,你可拉寄巴倒吧,25-10-15,来自山东
1,19,BGGF国人,阿三们快点冲去蒙古，那里有一望无际的草原供你们拉屎[流汗],25-10-15,来自广西
1,20,自在不动悟,成吉思汗面子不要哒？,25-10-15,来自北京
1,21,用户7976833977,蒙古海军,25-10-15,来自江苏
1,22,浅斟慢酌多喝水,强强联合，能歌善舞,25-10-15,来自重庆
1,23,war豪ge,一对小丑,25-10-15,来自广东
1,0,"吃瓜罗伯特
：华莎姐姐的嗓音，就是我的快乐源泉！新歌循环ing~",,今天17:16,无
1,0,一定会发财的Yan ：mv我好爱,,今天18:30,无
1,1,"我是你爷特别伟大
",偷国棒子有本事进口中国产的大白菜和泡菜，穷死你们这帮死棒子！,25-10-15,来自广东
1,2,"亲爱的多巴胺37
",天哪，棒子怎么不提把中国文化标注成韩国文化？脸呢？,25-10-15,来自安徽
1,3,"广州superben
",油管五常，只管日常[允悲],25-10-15,来自广东
1,4,删博删的越来越快,挺分裂的，直接PAOCAI就行了，还标KIMCHI,25-10-15,来自河北
1,5,"夷州电锯宰蛙狂魔
",西方人眼里你们小西八都是中国的分支,25-10-15,来自黑龙江
1,6,"邱小姐的五福
",🍉自己吃的都是山东的,25-10-15,来自江苏
1,7,"桃李春风一觚酒
",屁的泡菜，明明渍菜,25-10-15,来自四川
1,8,"胖猴传奇
",一个往死里纠结咸菜的民族[允悲],25-10-15,来自吉林
1,9,"反重力游民
",又是这个徐炯德,25-10-15,来自上海
