排名,学校名字,英文名字,省份,评分,办学层次
1,清华大学,Tsinghua University,北京,Tsinghua University,Tsinghua University
2,北京大学,Peking University,北京,Peking University,Peking University
3,浙江大学,Zhejiang University,浙江,Zhejiang University,Zhejiang University
4,上海交通大学,Shanghai Jiao Tong University,上海,Shanghai Jiao Tong University,Shanghai Jiao Tong University
5,复旦大学,Fudan University,上海,Fudan University,Fudan University
6,南京大学,Nanjing University,江苏,Nanjing University,Nanjing University
7,中国科学技术大学,University of Science and Technology of China,安徽,University of Science and Technology of China,University of Science and Technology of China
8,华中科技大学,Huazhong University of Science and Technology,湖北,Huazhong University of Science and Technology,Huazhong University of Science and Technology
9,武汉大学,Wuhan University,湖北,Wuhan University,Wuhan University
10,西安交通大学,Xi'an Jiaotong University,陕西,Xi'an Jiaotong University,Xi'an Jiaotong University
11,中山大学,Sun Yat-sen University,广东,Sun Yat-sen University,Sun Yat-sen University
12,北京航空航天大学,Beihang University,北京,Beihang University,Beihang University
13,东南大学,Southeast University,江苏,Southeast University,Southeast University
14,北京理工大学,Beijing Institute of Technology,北京,Beijing Institute of Technology,Beijing Institute of Technology
15,四川大学,Sichuan University,四川,Sichuan University,Sichuan University
16,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,Harbin Institute of Technology,Harbin Institute of Technology
17,同济大学,Tongji University,上海,Tongji University,Tongji University
18,中国人民大学,Renmin University of China,北京,Renmin University of China,Renmin University of China
19,北京师范大学,Beijing Normal University,北京,Beijing Normal University,Beijing Normal University
20,天津大学,Tianjin University,天津,Tianjin University,Tianjin University
21,南开大学,Nankai University,天津,Nankai University,Nankai University
22,山东大学,Shandong University,山东,Shandong University,Shandong University
23,西北工业大学,Northwestern Polytechnical University,陕西,Northwestern Polytechnical University,Northwestern Polytechnical University
24,厦门大学,Xiamen University,福建,Xiamen University,Xiamen University
25,中南大学,Central South University,湖南,Central South University,Central South University
26,吉林大学,Jilin University,吉林,Jilin University,Jilin University
27,中国农业大学,China Agricultural University,北京,China Agricultural University,China Agricultural University
28,大连理工大学,Dalian University of Technology,辽宁,Dalian University of Technology,Dalian University of Technology
29,华东师范大学,East China Normal University,上海,East China Normal University,East China Normal University
30,华南理工大学,South China University of Technology,广东,South China University of Technology,South China University of Technology
31,电子科技大学,University of Electronic Science and Technology of China,四川,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China
32,湖南大学,Hunan University,湖南,Hunan University,Hunan University
33,重庆大学,Chongqing University,重庆,Chongqing University,Chongqing University
34,南方科技大学,Southern University of Science and Technology,广东,Southern University of Science and Technology,Southern University of Science and Technology
35,北京科技大学,University of Science and Technology Beijing,北京,University of Science and Technology Beijing,University of Science and Technology Beijing
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics
37,南京理工大学,Nanjing University of Science and Technology,江苏,Nanjing University of Science and Technology,Nanjing University of Science and Technology
38,兰州大学,Lanzhou University,甘肃,Lanzhou University,Lanzhou University
39,东北大学,Northeastern University,辽宁,Northeastern University,Northeastern University
40,西安电子科技大学,Xidian University,陕西,Xidian University,Xidian University
41,北京交通大学,Beijing jiaotong University,北京,Beijing jiaotong University,Beijing jiaotong University
42,上海科技大学,ShanghaiTech University,上海,ShanghaiTech University,ShanghaiTech University
43,苏州大学,Soochow University,江苏,Soochow University,Soochow University
44,华东理工大学,East China University of Science and Technology,上海,East China University of Science and Technology,East China University of Science and Technology
45,哈尔滨工程大学,Harbin Engineering University,黑龙江,Harbin Engineering University,Harbin Engineering University
46,东北师范大学,Northeast Normal University,吉林,Northeast Normal University,Northeast Normal University
47,华中农业大学,Huazhong Agricultural University,湖北,Huazhong Agricultural University,Huazhong Agricultural University
48,中国石油大学（北京）,"China University of Petroleum, Beijing",北京,"China University of Petroleum, Beijing","China University of Petroleum, Beijing"
49,南京农业大学,Nanjing Agricultural University,江苏,Nanjing Agricultural University,Nanjing Agricultural University
50,郑州大学,Zhengzhou University,河南,Zhengzhou University,Zhengzhou University
51,暨南大学,Jinan University,广东,Jinan University,Jinan University
52,南京师范大学,Nanjing Normal University,江苏,Nanjing Normal University,Nanjing Normal University
52,武汉理工大学,Wuhan University of Technology,湖北,Wuhan University of Technology,Wuhan University of Technology
54,中国矿业大学,China University of Mining and Technology,江苏,China University of Mining and Technology,China University of Mining and Technology
55,江南大学,Jiangnan University,江苏,Jiangnan University,Jiangnan University
56,上海大学,Shanghai University,上海,Shanghai University,Shanghai University
57,中国海洋大学,Ocean University of China,山东,Ocean University of China,Ocean University of China
58,华中师范大学,Central China Normal University,湖北,Central China Normal University,Central China Normal University
59,西南交通大学,Southwest Jiaotong University,四川,Southwest Jiaotong University,Southwest Jiaotong University
60,中国石油大学（华东）,China University of Petroleum (East China),山东,China University of Petroleum (East China),China University of Petroleum (East China)
61,中国地质大学（武汉）,China University of Geosciences,湖北,China University of Geosciences,China University of Geosciences
62,陕西师范大学,Shaanxi Normal University,陕西,Shaanxi Normal University,Shaanxi Normal University
63,北京邮电大学,Beijing University of Posts and Telecommunications,北京,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications
64,浙江工业大学,Zhejiang University of Technology,浙江,Zhejiang University of Technology,Zhejiang University of Technology
65,河海大学,Hohai University,江苏,Hohai University,Hohai University
66,北京工业大学,Beijing University of Technology,北京,Beijing University of Technology,Beijing University of Technology
67,西北大学,Northwest University,陕西,Northwest University,Northwest University
68,北京化工大学,Beijing University of Chemical Technology,北京,Beijing University of Chemical Technology,Beijing University of Chemical Technology
69,西南大学,Southwest University,重庆,Southwest University,Southwest University
70,云南大学,Yunnan University,云南,Yunnan University,Yunnan University
71,南昌大学,Nanchang University,江西,Nanchang University,Nanchang University
72,深圳大学,Shenzhen University,广东,Shenzhen University,Shenzhen University
73,西北农林科技大学,Northwest A&F University,陕西,Northwest A&F University,Northwest A&F University
74,中国地质大学（北京）,China University of Geosciences Beijing,北京,China University of Geosciences Beijing,China University of Geosciences Beijing
75,华北电力大学,North China Electric Power University,北京,North China Electric Power University,North China Electric Power University
76,东华大学,Donghua University,上海,Donghua University,Donghua University
77,中国矿业大学（北京）,China University of Mining & Technology-Beijing,北京,China University of Mining & Technology-Beijing,China University of Mining & Technology-Beijing
78,宁波大学,Ningbo University,浙江,Ningbo University,Ningbo University
79,华南师范大学,South China Normal University,广东,South China Normal University,South China Normal University
80,江苏大学,Jiangsu University,江苏,Jiangsu University,Jiangsu University
81,福州大学,Fuzhou University,福建,Fuzhou University,Fuzhou University
82,扬州大学,Yangzhou University,江苏,Yangzhou University,Yangzhou University
83,合肥工业大学,Hefei University of Technology,安徽,Hefei University of Technology,Hefei University of Technology
84,北京林业大学,Beijing Forestry University,北京,Beijing Forestry University,Beijing Forestry University
85,南京邮电大学,Nanjing University of Posts and Telecommunications,江苏,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications
86,湖南师范大学,Hunan Normal University,湖南,Hunan Normal University,Hunan Normal University
87,福建师范大学,Fujian Normal University,福建,Fujian Normal University,Fujian Normal University
88,浙江师范大学,Zhejiang Normal University,浙江,Zhejiang Normal University,Zhejiang Normal University
89,南京工业大学,Nanjing Tech University,江苏,Nanjing Tech University,Nanjing Tech University
90,广西大学,Guangxi University,广西,Guangxi University,Guangxi University
91,首都师范大学,Capital Normal University,北京,Capital Normal University,Capital Normal University
92,长安大学,Chang'an University,陕西,Chang'an University,Chang'an University
93,南京林业大学,Nanjing Forestry University,江苏,Nanjing Forestry University,Nanjing Forestry University
94,华南农业大学,South China Agricultural University,广东,South China Agricultural University,South China Agricultural University
95,安徽大学,Anhui University,安徽,Anhui University,Anhui University
95,贵州大学,Guizhou University,贵州,Guizhou University,Guizhou University
97,杭州电子科技大学,Hangzhou Dianzi University,浙江,Hangzhou Dianzi University,Hangzhou Dianzi University
98,广州大学,Guangzhou University,广东,Guangzhou University,Guangzhou University
99,河南大学,Henan University,河南,Henan University,Henan University
100,广东工业大学,Guangdong University of Technology,广东,Guangdong University of Technology,Guangdong University of Technology
101,山西大学,Shanxi University,山西,Shanxi University,Shanxi University
